Rule Piece,Condition,Grade,Times Used,Condition Weight,Times Incorrect,Condition Score
Rule Piece 6,AWAY_day_since_last_game > 13.50,0.0,2,0.0,2,0.0
Rule Piece 6,home_team_on_offense <= 36.50,0.0,1,0.0,1,0.0
Rule Piece 6,pass_run_ratio <= 0.72,0.0,1,0.0,1,0.0
Rule Piece 6,Down > 3.50,0.0,1,0.0,1,0.0
Rule Piece 6,offensive_predictability <= 0.01,0.0,1,0.0,1,0.0
Rule Piece 5,OffenseTeam > 29.50,0.0,0,0.0,0,0.0
Rule Piece 6,home_team_on_offense > 36.50,0.0,0,0.0,0,0.0
Rule Piece 6,score_differential <= -13.50,0.0,0,0.0,0,0.0
Rule Piece 6,Temperature <= 69.24,0.0,6,0.0,6,0.0
Rule Piece 6,run_count <= 17.50,0.0,0,0.0,0,0.0
Rule Piece 6,season_progression <= 0.09,0.0,0,0.0,0,0.0
Rule Piece 6,epa > 0.25,0.0,2,0.0,2,0.0
Rule Piece 6,OffenseTeam > 5.50,0.0,103,0.0,103,0.0
Rule Piece 6,run_count > 9.50,0.0,8,0.0,8,0.0
Rule Piece 6,season_progression <= 0.85,0.0,11,0.0,11,0.0
Rule Piece 6,home_team_on_defense <= 0.50,0.0,20,0.0,20,0.0
Rule Piece 6,score_differential <= -1.50,0.0,21,0.0,21,0.0
Rule Piece 6,current_defence_rank > 1.50,0.0,60,0.0,60,0.0
Rule Piece 5,Temperature > 83.70,0.0,1,0.0,1,0.0
Rule Piece 4,epa > 2.30,0.0,2,0.0,2,0.0
Rule Piece 4,AWAY_day_since_last_game <= 5.50,0.0,1,0.0,1,0.0
Rule Piece 5,OffenseTeam <= 29.50,0.0,2,0.0,2,0.0
Rule Piece 5,stadium <= 24.00,0.0,1,0.0,1,0.0
Rule Piece 6,season_progression > 0.09,0.0,0,0.0,0,0.0
